id,generation,parents,n_estimators,max_depth,max_features,score
1,0,,249,47,sqrt,0.3200240226332408
2,0,,391,44,sqrt,0.3131434741712237
3,0,,471,,log2,0.313272366653498
4,0,,307,,sqrt,0.3202515327708938
5,0,,213,,sqrt,0.3183864632564596
6,0,,322,39,sqrt,0.31412377210619424
7,0,,482,33,log2,0.3128513141495297
8,0,,302,35,log2,0.31924486730545665
9,0,,393,10,sqrt,0.3832773047904878
10,0,,416,28,log2,0.31440316193180995
11,0,,194,31,log2,0.3164307501072391
12,0,,179,11,sqrt,0.3417748646130421
13,0,,260,21,log2,0.3168505619279407
14,0,,50,43,sqrt,0.33596713878781326
15,0,,289,,sqrt,0.3179110435426963
16,0,,137,48,log2,0.31360076997497865
17,0,,200,21,log2,0.3197299959017782
18,0,,438,24,log2,0.3148914397323965
19,0,,169,,sqrt,0.31539449736897807
20,0,,266,,log2,0.317214811323835
21,1,"1,12",248,11,log2,0.34605455430696597
22,1,"15,9",395,10,sqrt,0.3836821220419151
23,1,"14,9",393,43,sqrt,0.3127326435142529
24,1,"20,8",266,37,log2,0.317214811323835
25,1,"5,17",211,21,sqrt,0.3170791386369468
26,1,"4,8",307,36,log2,0.3202515327708938
27,1,"12,5",179,13,sqrt,0.32401657173364196
28,1,"5,1",251,47,log2,0.3193232896352203
29,1,"12,14",50,43,sqrt,0.33596713878781326
30,1,"12,20",266,10,log2,0.38822010385179595
31,2,"29,27",50,42,log2,0.33596713878781326
32,2,"30,29",52,43,sqrt,0.3326515386048683
33,2,"9,21",393,10,log2,0.3832773047904878
34,2,"29,30",266,12,sqrt,0.35411123435021086
35,2,"30,27",266,13,log2,0.32551206996632975
36,2,"26,30",307,8,sqrt,0.43269867304906606
37,2,"29,27",177,13,sqrt,0.32349834359790663
38,2,"9,30",395,10,sqrt,0.3836821220419151
39,2,"22,4",395,8,sqrt,0.43212626771304186
40,2,"27,22",178,15,sqrt,0.304188081512173
41,3,"34,36",266,,log2,0.317214811323835
42,3,"30,38",264,10,log2,0.3888717607683251
43,3,"38,34",393,12,sqrt,0.343605323439084
44,3,"22,30",395,10,sqrt,0.3836821220419151
45,3,"33,12",179,9,log2,0.40330480248335177
46,3,"12,22",396,11,sqrt,0.34403355794721113
47,3,"30,22",264,10,log2,0.3888717607683251
48,3,"30,21",248,11,log2,0.34605455430696597
49,3,"30,34",264,10,log2,0.3888717607683251
50,3,"38,21",395,11,sqrt,0.34422225346446533
51,4,"36,38",306,8,log2,0.432934733854059
52,4,"36,42",264,10,sqrt,0.3888717607683251
53,4,"44,30",395,12,sqrt,0.3438880422923001
54,4,"42,30",265,10,log2,0.3885596462047971
55,4,"42,36",263,10,log2,0.38924661602193544
56,4,"22,45",179,9,sqrt,0.40330480248335177
57,4,"38,42",266,10,log2,0.38822010385179595
58,4,"45,47",263,10,log2,0.38924661602193544
59,4,"44,22",395,8,log2,0.43212626771304186
60,4,"47,30",266,10,log2,0.38822010385179595
61,5,"59,42",266,12,log2,0.35411123435021086
62,5,"45,58",263,9,log2,0.40437780388128963
63,5,"45,58",263,10,log2,0.38924661602193544
64,5,"45,47",177,12,sqrt,0.34224785588585493
65,5,"58,45",179,10,log2,0.37996151634139363
66,5,"47,58",265,10,sqrt,0.3885596462047971
67,5,"36,42",307,11,log2,0.34916914139999655
68,5,"36,51",307,9,log2,0.4071438683498495
69,5,"56,36",179,8,sqrt,0.4209035539285858
70,5,"56,59",178,8,log2,0.4204279741821785
71,6,"51,69",179,8,log2,0.4209035539285858
72,6,"70,62",178,11,log2,0.34128197871216603
73,6,"56,68",179,9,sqrt,0.40330480248335177
74,6,"36,56",307,9,log2,0.4071438683498495
75,6,"51,59",395,8,sqrt,0.43212626771304186
76,6,"69,62",181,8,log2,0.42182385687033364
77,6,"39,68",394,9,sqrt,0.405953821640163
78,6,"59,39",395,8,log2,0.43212626771304186
79,6,"70,59",395,8,sqrt,0.43212626771304186
80,6,"68,59",307,9,sqrt,0.4071438683498495
81,7,"39,79",394,8,sqrt,0.43199504738750505
82,7,"59,79",395,8,log2,0.43212626771304186
83,7,"39,51",306,8,sqrt,0.432934733854059
84,7,"39,51",395,8,sqrt,0.43212626771304186
85,7,"78,76",180,8,log2,0.4209122781486797
86,7,"75,69",393,8,log2,0.43204679076670527
87,7,"71,59",397,8,log2,0.4317450954522124
88,7,"59,71",179,8,sqrt,0.4209035539285858
89,7,"69,78",395,6,log2,0.4938635464688571
